,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.005100568135579427,0.0016210023066796368,0.0,0.0,0.0001,200,l1,lbfgs,"{'C': np.float64(0.0001), 'max_iter': 200, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,11
1,0.012648661931355795,0.009669423487324453,0.0,0.0,0.0001,200,l1,newton-cg,"{'C': np.float64(0.0001), 'max_iter': 200, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,11
2,0.5481759707132975,0.1110051569706117,0.004854043324788411,0.0023506248009818073,0.0001,200,l2,lbfgs,"{'C': np.float64(0.0001), 'max_iter': 200, 'penalty': 'l2', 'solver': 'lbfgs'}",0.449438202247191,0.43820224719101125,0.4606741573033708,0.449438202247191,0.009174118886828382,9
3,0.19963661829630533,0.012152685282392071,0.005102316538492839,0.004339187159678032,0.0001,200,l2,newton-cg,"{'C': np.float64(0.0001), 'max_iter': 200, 'penalty': 'l2', 'solver': 'newton-cg'}",0.449438202247191,0.43820224719101125,0.4606741573033708,0.449438202247191,0.009174118886828382,9
4,0.004390875498453776,0.0011443206688861597,0.0,0.0,0.01,200,l1,lbfgs,"{'C': np.float64(0.01), 'max_iter': 200, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,11
5,0.002041021982828776,3.1947101115913146e-05,0.0,0.0,0.01,200,l1,newton-cg,"{'C': np.float64(0.01), 'max_iter': 200, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,11
6,0.584347645441691,0.27623546208943733,0.0009840329488118489,0.00021835552547151034,0.01,200,l2,lbfgs,"{'C': np.float64(0.01), 'max_iter': 200, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7865168539325843,0.898876404494382,0.8651685393258427,0.8501872659176031,0.04707792168530535,7
7,0.1581108570098877,0.026833582764823553,0.0011884371439615886,0.00030702823029048063,0.01,200,l2,newton-cg,"{'C': np.float64(0.01), 'max_iter': 200, 'penalty': 'l2', 'solver': 'newton-cg'}",0.7865168539325843,0.898876404494382,0.8651685393258427,0.8501872659176031,0.04707792168530535,7
8,0.0015219052632649739,0.0005032031576196622,0.0,0.0,1.0,200,l1,lbfgs,"{'C': np.float64(1.0), 'max_iter': 200, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,11
9,0.0013848940531412761,0.0009829424907103117,0.0,0.0,1.0,200,l1,newton-cg,"{'C': np.float64(1.0), 'max_iter': 200, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,11
10,0.43848856290181476,0.04149173487612935,0.0008056958516438802,9.894501890775123e-05,1.0,200,l2,lbfgs,"{'C': np.float64(1.0), 'max_iter': 200, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8764044943820225,0.9213483146067416,0.8764044943820225,0.8913857677902621,0.021186720035551984,3
11,0.1612696647644043,0.023851354367918555,0.0007160504659016927,9.947995967768918e-05,1.0,200,l2,newton-cg,"{'C': np.float64(1.0), 'max_iter': 200, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8764044943820225,0.9213483146067416,0.8764044943820225,0.8913857677902621,0.021186720035551984,3
12,0.0021131038665771484,0.00010551416175679991,0.0,0.0,100.0,200,l1,lbfgs,"{'C': np.float64(100.0), 'max_iter': 200, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,11
13,0.0018436908721923828,0.0002767551939355797,0.0,0.0,100.0,200,l1,newton-cg,"{'C': np.float64(100.0), 'max_iter': 200, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,11
14,0.24256364504496256,0.04290567527317228,0.0007588863372802734,4.360562184520021e-05,100.0,200,l2,lbfgs,"{'C': np.float64(100.0), 'max_iter': 200, 'penalty': 'l2', 'solver': 'lbfgs'}",0.898876404494382,0.9438202247191011,0.8764044943820225,0.9063670411985019,0.028027396155610028,1
15,0.15977056821187338,0.02170650560688903,0.0014027754465738933,0.00045201430984871167,100.0,200,l2,newton-cg,"{'C': np.float64(100.0), 'max_iter': 200, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8314606741573034,0.9213483146067416,0.8651685393258427,0.8726591760299626,0.037076760062215976,6
16,0.0015862782796223958,0.0006889934577932168,0.0,0.0,10000.0,200,l1,lbfgs,"{'C': np.float64(10000.0), 'max_iter': 200, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,11
17,0.0018072128295898438,0.0008447407012939218,0.0,0.0,10000.0,200,l1,newton-cg,"{'C': np.float64(10000.0), 'max_iter': 200, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,11
18,0.1294259230295817,0.0058106035568328525,0.0007290045420328776,0.00012638198843963774,10000.0,200,l2,lbfgs,"{'C': np.float64(10000.0), 'max_iter': 200, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8426966292134831,0.9101123595505618,0.8876404494382022,0.8801498127340824,0.028027396155610066,5
19,0.11567894617716472,0.01801229461039295,0.000625769297281901,3.902708152603679e-05,10000.0,200,l2,newton-cg,"{'C': np.float64(10000.0), 'max_iter': 200, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8764044943820225,0.9325842696629213,0.8876404494382022,0.898876404494382,0.02427243707268859,2
